INFO  2013-07-24 16:52:31,200 [12] stleLogCallInterceptor - Start call service method: IServiceProvider.TestData
INFO  2013-07-24 16:52:31,200 [12] stleLogCallInterceptor - End call service method: IServiceProvider.TestData. It takes: 0 millisecond
INFO  2013-07-24 16:52:31,200 [12] stleLogCallInterceptor - Start call service method: IServiceProvider.GetService
INFO  2013-07-24 16:52:31,591 [12] stleLogCallInterceptor - End call service method: IServiceProvider.GetService. It takes: 391 millisecond
INFO  2013-07-24 16:55:45,593 [14] stleLogCallInterceptor - Start call service method: IServiceProvider.ExecSum
INFO  2013-07-25 08:52:50,830 [5] stleLogCallInterceptor - Start call service method: IServiceProvider.ExecSum
INFO  2013-07-25 08:53:47,685 [5] stleLogCallInterceptor - Start call service method: IServiceProvider.ExecSum
WARN  2013-07-25 08:53:52,920 [5] stleLogCallInterceptor - Process for service method [IServiceProvider.ExecSum] take: [4798 ms], it is exceed 2s
INFO  2013-07-25 08:53:52,921 [5] stleLogCallInterceptor - End call service method: IServiceProvider.ExecSum. It takes: 4798 millisecond
INFO  2013-07-25 08:53:56,337 [5] stleLogCallInterceptor - Start call service method: IServiceProvider.AddDataTest
WARN  2013-07-25 08:54:01,027 [5] stleLogCallInterceptor - Process for service method [IServiceProvider.AddDataTest] take: [2472 ms], it is exceed 2s
INFO  2013-07-25 08:54:01,645 [5] stleLogCallInterceptor - End call service method: IServiceProvider.AddDataTest. It takes: 2472 millisecond
INFO  2013-07-25 10:20:21,604 [12] stleLogCallInterceptor - Start call service method: IServiceProvider.ExecSum
INFO  2013-07-25 10:20:21,623 [12] stleLogCallInterceptor - End call service method: IServiceProvider.ExecSum. It takes: 0 millisecond
INFO  2013-07-25 10:20:25,402 [12] stleLogCallInterceptor - Start call service method: IServiceProvider.AddDataTest
INFO  2013-07-25 10:20:25,403 [12] stleLogCallInterceptor - End call service method: IServiceProvider.AddDataTest. It takes: 0 millisecond
INFO  2013-07-25 10:27:00,511 [16] stleLogCallInterceptor - Start call service method: IServiceProvider.ExecSum
INFO  2013-07-25 10:27:00,525 [16] stleLogCallInterceptor - End call service method: IServiceProvider.ExecSum. It takes: 0 millisecond
INFO  2013-07-25 10:27:03,223 [16] stleLogCallInterceptor - Start call service method: IServiceProvider.AddDataTest
INFO  2013-07-25 10:27:03,224 [16] stleLogCallInterceptor - End call service method: IServiceProvider.AddDataTest. It takes: 0 millisecond
INFO  2013-07-26 09:28:37,740 [21] stleLogCallInterceptor - Start call service method: IAccountService.GetAllAccountInfo
